,question,answer,question_id
966,什么是市销率,市销率( Price-to-sales，PS)， PS = 总市值 除以主营业务收入，或者 PS=股价 除以每股销售额。市销率越低，说明该公司股票目前的投资价值越大。收入分析是评估企业经营前景至关重要的一步。没有销售，就不可能有收益。这也是最近两年在国际资本市场新兴起来的市场比率，主要用于创业板的企业或高科技企业。在NASDAQ市场上市的公司不要求有盈利业绩，因此无法用市盈率对股票投资的价值或风险进行判断，而用该指标进行评判。同时，在国内证券市场运用这一指标来选股可以剔除那些市盈率很低但主营又没有核心竞争力而主要是依靠非经常性损益而增加利润的股票（上市公司）。因此该项指标既有助于考察公司收益基础的稳定性和可靠性，又能有效把握其收益的质量水平。,966
967,市净率一般在什么范围比较好,一般来说市净率较低的股票，投资价值较高，相反，则投资价值较低；但在判断投资价值时还要考虑当时的市场环境以及公司经营情况、盈利能力等因素。投资界常常会在牛市推崇市盈率，到熊市大家爱用市净率来选股.道理很简单，牛市中大家齐齐往上看，市盈率给市场提供了无限想象空间。到了熊市，大家都往底下看，市净率常常给大家充当寻底的指标.2005年998点历史大底时，A股市净率水平在1.8倍左右，当大盘冲上6124点时市净率达到6.82倍.在熊市投资者们乐于使用市净率指标，因为这种指标更能体现股票的安全边际，投资者可以先假设最悲观状况下上市公司停产，投资者可以按照净资产来变现.对于投资者来说，按照市净率选股标准，市净率越低的股票，其风险系数越少一些.对于上市公司的净资产也要具体分析，有些净资产是能够帮助企业持续经营并创造利润，有的净资产则可能纯粹是破铜烂铁。在熊市&quot;破净&quot;的个股主要集中在钢铁、纺织、地产等行业，这些行业都面临景气周期衰退的危险。当熊市末期，大批个股会跌破净资产，意味着证券市场的机会可能开始显现。,967
968,市净率要怎么看什么是低市净率,市净率指的是每股股价与每股净资产的比率。 市净率可用于投资分析，一般来说市净率较低的股票，投资价值较高，相反，则投资价值较低；但在判断投资价值时还要考虑当时的市场环境以及公司经营情况、盈利能力等因素。市净率的计算方法是：市净率=（P/BV）即：每股市价(P)/每股净资产(Book Value)（1）当每股净资产＞股价时，市净率小于1，也就是低市净率，比如现在的钢铁股、银行股，市净率都很低；（2）当每股净资产＜股价时，市净率大于1，比如互联网、文化传媒的股票，市净率都很高。2、低市净率是指市净率比较低。市净率意味着股票价格相对于公司的净资产的比率。因此，市净率低意味着投资风险小，万一上市公司倒闭，清偿的时候可以收回更多成本。所以，市净率低好。一般情况下，高市净率的行业成长性高（一般是朝阳产业，市场还不成熟，对中国来说比如环保，服务外包，生物科技，网络，咨询等），低市净率的行业成长性小（市场很成熟，竞争激烈，如钢铁，基建，电子产品制造，纸业等），具体的还要分析该公司的市场前景，科研投入，销售模式，公司性质等综合分析。,968
969,什么是市净率,市净率指的是每股股价与每股净资产的比率。 市净率可用于投资分析，一般来说市净率较低的股票，投资价值较高，相反，则投资价值较低；但在判断投资价值时还要考虑当时的市场环境以及公司经营情况、盈利能力等因素。市净率的计算方法是：市净率=（P/BV）即：股票市价(P)/每股净资产(book value)    股票净值即：公司资本金、资本公积金、资本公益金、法定公积金、任意公积金、未分配盈余等项目的合计，它代表全体股东共同享有的  市净率权益，也称净资产。净资产的多少是由股份公司经营状况决定的，股份公司的经营业绩越好，其资产增值越快，股票净值就越高，因此股东所拥有的权益也越多。股票净值是决定股票市场价格走向的主要根据。上市公司的每股内含净资产值高而每股市价不高的股票，即市净率越低的股票，其投资价值越高。相反，其投资价值就越小，但在判断投资价值时还要考虑当时的市场环境以及公司经营情况、盈利能力等因素。,969
970,什么是市盈率,市盈率又称股份收益比率或本益比，是股票市价与其每股收益的比值，计算公式是：　　市盈率=（当前每股市场价格）/（每股税后利润）　　市盈率是衡量股价高低和企业盈利能力的一个重要指标。由于市盈率把股价和企业盈利能力结合起来，其水平高低更真实地反映了股票价格的高低。例如，股价同为50元的两只股票，其每股收益分别为5元和1元，则其市盈率分别是10倍和50倍，也就是说其当前的实际价格水平相差5倍。若企业盈利能力不变，这说明投资者以同样50元价格购买的两种股票，要分别在10年和50年以后才能从企业盈利中收回投资。但是，由于企业的盈利能力是会不断改变的，投资者购买股票更看重企业的未来。因此，一些发展前景很好的公司即使当前的市盈率较高，投资者也愿意去购买。预期的利润增长率高的公司，其股票的市盈率也会比较高。一般而言，新兴证券市场中的上市公司普遍有较好的发展潜力，利润增长率比较高，因此，新兴证券市场的整体市盈率水平会比成熟证券市场的市盈率水平高。欧美等发达国家股市的市盈率一般保持在15倍左有，而亚洲一些发展中国家的股市正常情况下的市盈率在30倍左右。,970
971,交易软件常见名词解释——委比,1、委比是衡量某一时段买卖盘相对强度的指标。计算公式为：委比=(委买手数－委卖手数)/(委买手数+委卖手数)×100% 委买手数：现在所有个股委托买入下三档的总数量。 委卖手数：现在所有个股委托卖出上三档的总数量。 2、委比值的变化范围为－100%到+100%， 当委比值为—100%时，它表示只有卖盘而没有买盘，说明市场的抛盘非常大； 当委比值为+100%时，它表示只有买盘而没有卖盘，说明市场的买盘非常有力。 当委比值为负时，卖盘比买盘大； 而委比值为正时，说明买盘比卖盘大。 委比值从—100%到+100%的变化是卖盘逐渐减弱、买盘逐渐强劲的一个过程。,971
972,交易软件常见名词解释——量比,1、量比是一个衡量相对成交量的指标，它是开市后每分钟的平均成交量与过去5个交易日每分钟平均成交量之比。 其公式为： 量比＝现成交总手/（过去5日平均每分钟成交量×当日累计开市时间（分）） 2、当量比大于1时，说明当日每分钟的平均成交量要大于过去5日的平均数值，交易比过去5日火爆；而当量比小于1时，说明现在的成交比不上过去5日的平均水平。,972
973,证券发行核准制,证券发行核准制即所谓的实质管理原则，以欧洲各国的公司法为代表。依照证券发行核准制的要求，证券的发行不仅要以真实状况的充分公开为条件，而且必须符合证券管理机构制定的若干适于发行的实质条件。符合条件的发行公司，经证券管理机关批准后方可取得发行资格，在证券市场上发行证券。这一制度的目的在于禁止质量差的证券公开发行。我们称作实质审核，主要是欧洲和中国常见上市方式。,973
974,股票发行方式有哪几种,股票的发行有公开发行和非公开发行两种。　　一、公开发行也称公募是指股票发行人向社会公开出售股票的方式；　　二、非公开发行也秫私募或内部发行，是指股票发行人向公司内部职工或特定投资者出售股票的方式。　　公开发行和非公开发行都可以采用直接发行或间接发行的方式。　　1、直接发行也称自蕾发行，是指股票发行人自己办理股票发行手续。这种方式下，一般是发行人在投资银行或证券机构的协助下，通过私下接诗的方法直接将股票出售给个人投资者或机构投资者。一旦到期．募集不到原定的股份，拉行人将不足部分自行认购。　　2、间接发行也称委托代理发行．是指股票发行人不直接办理股票发行手续，而是委托证券经营机构代理盅行，招募投资者。　　间接发行，根据受托责任不同分为代销发行和包销发行。　　（1）代销发行，是指发行人委托有资格的证券经营机构代办销售股票的方式。在此方式下，代销机构只是同意按照发行人委托的价格尽可能地销售股票，只收取手续费和其他有关费甩，发行风险由发行人承担，到期销售不完的股票退给发行人。　　（2）包销发行，是指发行人与代理发行机构签订合同，委托其发行股票．并且规定在承销期内如果不能足额发行，尚未销售的股票由,974
975,股票发行注册制,证券发行注册制是指证券发行申请人依法将与证券发行有关的一切信息和资料公开， 制成法律文件，送交主管机构审查， 主管机构只负责审查发行申请人提供的信息和资料是否履行了信息披露义务的一种制度。 其最重要的特征是：在注册制下证券发行审核机构只对注册文件进行形式审查， 不进行实质判断。我们称作形式审核，主要在美国公司上市常见上市方式。,975
976,非系统性风险,非系统性风险是由股份公司自身某种原因而引起证券价格的下跌的可能性，它只存在于相对独立的范围，或者是个别行业中，它来自企业内部的微观因素。这种风险产生于某一证券或某一行业的独特事件，如破产、违约等，与整个证券市场不发生系统性的联系，这是总的投资风险中除了系统风险外的偶发性风险，或称残余风险。,976
977,系统性风险,系统性风险是指由于公司外部、不为公司所预计和控制的因素造成的风险。通常表现为国家、地区性战争或骚乱，全球性或区域性的石油恐慌，国民经济严重衰退或不景气，国家出台不利于公司的宏观经济调控的法律法规，中央银行调整利率等。这些因素单个或综合发生，导致所有证券商品价格都发生动荡，它断裂层大，涉及面广，人们根本无法事先采取某针对性措施于以规避或利用，即使分散投资也丝毫不能改变降低其风险， 从这一意义上讲，系统性风险也称为分散风险或者称为宏观风险。,977
978,转板上市,指的是不同层次之间的交易市场，像国内把沪深交易所叫主板&lt;br /&gt;深圳交易所中小企业板是第二层次的，与正计划推出的创业板在一个层次上&lt;br /&gt;第三层次的就是三板，包括代办股份转让系统和中关村股份报价转让系统&lt;br /&gt;不同板之间的受市场关注度和交易量等都有差别，所以会适合不同的公司&lt;br /&gt;当一个公司转到不同交易系统之挂牌就叫转板，两种原因啊，下一层次的做的比较好的就升上来，而上一层次的做的差的就退到三板,978
979,股票转板,股票转板是指标的公司根据内部或者外部条件的变化，自主选择(一般为升板)或者被强制性地(一般为降板)将其股票从一个市场板转到另一个市场板块进行交易。,979
980,对敲,是股票投资者(庄家或大的机构投资者)的一种交易的手法。具体操作方法在多家营业部同时开户，以拉锯方式在各营业部之间报价交易，以达到操纵股价的目的。,980
981,横盘,横盘指股市上经常会出现股价徘徊缓滞的局面，在一定时期内既不涨上去，也不跌下来。k线组合呈现出“一”字型的图形。这种情况一般出现在底部或者是庄家在洗盘吸货，投资者这时不应参与操作，应注意观察，等形态走好，再介入搭顺风车。,981
982,配股,公司增发新股时，按股东所有人份数，以特价（低于市价）分配给股东认购,982
983,洗盘,做手为达到炒作目的，必须于途中让低价买进，且意志不坚的轿客下轿，以减轻上档压力，同时让持股者的平均价位升高，以利于施行养、套、杀的手段。,983
984,坐轿子，抬轿子，下轿子,坐轿子：预测股价将涨，抢在众人前以低价先行买进，待众多散户跟进、股价节节升高后，卖出获利。抬轿子：在别人早已买进后才醒悟，也跟着买进，结果是把股价抬高让他人获利，而自己买进的股价已非低价，无利可图。下轿子：坐轿客逢高获利结算为下轿子。,984
985,除权，填权，含权,股票除权前一日收盘价减去所含权的差价，即为除权。除权后股价上升，将除权差价补回，称为填权。凡是有股票有权未送配的均称含权。,985
986,认股权证,股票发行公司增发新股票时，发给公司原股东的以优惠价格购买一定数量股票的证书。认股权证通常都有时间限制，过时无 效。在有效期内持有人可以将其卖出或转让。,986
987,基本分析,根据销售额、资产、收益、产品或服务、市场和管理等因素对企业进行分析。亦指对宏观政治、经济、军事动态的分析，以预测它们对股市的影响。,987
988,技术分析,以供求关系为基础对市场和股票进行的分析研究。技术分析研究价格动向、交易量、交易趋势和形式，并制图表示上述因素，用图预测当前市场行为对未来证券的供求关系和个人持有的证券可能发生的影响。,988
989,骗线,大户利用股民们迷信技术分析数据、图表的心理，故意抬拉、打压股指，致使技术图表形成一定线型，引诱股民大量买进或卖出，从而达到他们大发其财的目的。这种期骗性造成的技术图表线型称为骗线。,989
990,白马,是指股价已形成慢慢涨的长升通道，还有一定的上涨空间,990
991,黑马,是指股价在一定时间内，上涨一倍或数倍的股票。,991
992,打压,是用非常方法，将股价大幅度压低。通常大户在打压之后便大量买进以取暴利。,992
993,抬拉,抬拉是用非常方法，将股价大幅度抬起。通常大户在抬拉之后便大抛出以牟取暴利。,993
994,盘整,股价经过一段快捷上升或下降后，遭遇阻力或支撑而呈小幅涨跌变动，做换手整理。,994
995,大户,大户：就是大额投资人，例如财团、信托公司以及其它拥有庞大资金的集团或个人。中户：指投资额较大的投资人。散户：就是买卖股票数量很少的小额投资者。,995
996,什么是可转债的赎回,可转债的赎回是指发行人在一定时间和条件下可以提前赎回未到期的可转债，它更多地考虑了发行人如何避免利率下调的风险、还本压力和财务风险，限制了投资人在股票牛市和市场利率下调时的潜在收益。,996
997,可转债网上定价发行的申购流程,可转换公司债券（简称：可转债）网上定价发行的申购流程：1、申购当日(T日)，投资者申请认购可转换公司债券(每个帐户的申购不少于1000元面值，超过1000元面值的必须是1000元的整数倍，每个帐户的认购上限为公开发行总额的1‰)。并由交易所反馈认购情况；2、T+1日，由交易所结算公司将申购资金冻结在申购专户中；3、T+2日，由主承销商和有从事证券业务资格的会计师事务所对申购资金进行验资，并由会计师事务所出具验资报告，交易所进行申购配号工作；4、T+3日，由主承销商负责组织摇号抽签，并于当日公布中签结果；5、T+4日，对未中签的申购款予以解冻。,997
998,什么是可转债的配售,可转债的配售是指上市公司发行可转换债券对股权登记日收市后登记在册股东(即老股东)优先配售的方式。与配股和增发新股一样，是上市公司再融资方式的一种，与配股缴款、增发新股的操作有相类似的地方。,998
999,可转债的发行方式有哪些,目前在沪深交易所已发行上市的可转换公司债券的发行方式有两种：1、对社会公众发行。采用在交易所上网定价发行的方式；2、采用向截止股权登记日收市后登记在册的股东配售与对社会公众发行相结合的发行方式。,999
1000,上海市场可转债转股代码及到期时间,上海市场可转债信息（转股价会因分红等进行调整，请以上市公司公告为准）：1、格力转债：债券代码：110030；转股代码：190030；到期日：2019-12-24；转股价格：20.92；2、航信转债：债券代码：110031；转股代码：190031；到期日：2021-6-11；转股价格：86.61；3、三一转债：债券代码：110032；转股代码：未到转股期暂无转股代码；到期日：2022-1-3；转股价格：7.5；4、国贸转债：债券代码：110033；转股代码：未到转股期暂无转股代码；到期日：2022-1-4；转股价格：9.03；5、九州转债：债券代码：110034；转股代码：未到转股期暂无转股代码；到期日：2022-1-14；转股价格：18.78；6、白云转债：债券代码：110035；转股代码：未到转股期暂无转股代码；到期日：2021-2-25；转股价格：12.88；7、电气转债：债券代码：113008；转股代码：191008；到期日：2021-2-1；转股价格：10.66；8、广汽转债：债券代码：1130,1000
1001,交易可转债需开立什么账户,可转换公司债券申购、上市后的交易均利用深、沪证券交易所股票交易系统进行。投资者申购、交易上市的可转换公司债券只须开通深、沪A股证券账户即可办理。办理开户与A股同。,1001
1002,持有可转债后，可选择的投资策略有哪些,持有可转债后，投资者可选择的投资策略有以下几种：1、将持有的可转债直接在二级市场卖出；2、可以选择在发行结束6个月之后转换成股票，享受股利分配或资本增值；3、可以选择持有债券到期，获取公司还本付息。,1002
1003,怎样在PC通达信查看可转债单独行情页面,在PC通达信查看可转债单独行情页面路径：报价沪深分类沪深债券可转换债券。,1003
1004,创业板可转债交易要开通创业板交易权限吗,创业板可转债交易要开通创业板交易权限。根据监管层适当性管理要求，参与创业板可转债（代码段：123000-123999）各类业务（包含：申赎、交易等）的个人投资者须临柜办理创业板开通业务，如已开通则无需重复办理。,1004
1005,信用账户是否支持可转债配售和转股,1、信用账户支持操作可转债配售，可以操作“卖出”完成认购。2、信用账户不支持可转债转股，需要把转债转入普通账户里才可以操作,1005
1006,可转债转股的操作渠道有哪些,可转债转股的操作渠道有以下几种：1、深市转股操作：（1）营业部柜台：携带身份证，在交易时间到营业部现场办理。（2）网上交易软件：①PC安翼、PC安信股票转债转股，输入转股代码（深圳市场转股代码即为转债代码）、价格、数量；②PC通达信：股票-其他业务-转股回售-可转债转股。价格输入100元，数量为需要转股的债券张数。二、沪市转股操作：（1）营业部柜台：携带身份证，在交易时间到营业部现场办理。（2）网上交易、电话委托、手机证券、页面交易：选择“卖出”菜单，输入转股代码，价格输入100元，数量为需要转股的债券张数。（3）网上交易软件：①PC安翼、PC安信股票其他转债转股，输入转股代码、价格、数量；②PC通达信：股票-其他业务-转股回售-可转债转股。价格输入100元，数量为需要转股的债券张数。,1006
1007,转股操作后，股份何时到账，何时能操作,可转债申请转股后，转股的股份T+1到账，并可操作。,1007
1008,当日买入的可转债可以申请转股吗,T日买入的可转债（转股期内）T日可申请转股，T+1日可以卖出。,1008
1009,可转债转股时怎么计算可转股份数量,可转债转股的数量可按以下公式计算：可转债转换股份数=（转债手数*1000元）/当次转股初始价格；其中，转换的股票不足1股的用现金兑付。,1009
1010,可转债申购、配售的份额什么时候到账,可转债申购、配售的份额在上市日前一个交易日晚上清算后到账。,1010
1011,可转债回售收费吗,可转债回售是需要收费的，收费标准跟卖出可转债费用一致。目前可转债卖出费用只有佣金部分，其中：1、上海不超过成交金额的万分之二收取，起点1元；2、深圳不超过成交金额的千分之一，无最低起点。,1011
1012,可转换债券买卖的手续费标准是多少,可转债的手续费标准是：1、深市：按照不超过成交金额的千分之一双向收取，无最低限制；2、沪市：按照不超过成交金额的万分之二双向收取，最低1元/笔。,1012
1013,配售可转债时，“精确算法取整”是指什么,在向老股东配售可转债时，会按照“精确算法取整”来计算每位老股东可配售的可转债数量。其中，“精确算法取整”是指：先按照配售比例和每个账户股数计算出可认购数量的整数部分，对于计算出不足1手的部分（尾数保留 三位小数），将所有账户按照尾数从大到小的顺序进位（尾数相同则随机排序），直至每个账户获得的可认购分离交易可转债加总与原A股无限售条件流通股股东网上可配售总量一致。,1013
1014,可债券回售操作渠道和方式有哪些,可债券回售操作渠道和方式有以下几种：1、沪、深市均可通过我司PC安信/安翼其他转债回售、通达信其他业务转股回售债券回售进行操作。2、另外，沪市还可选择直接“卖出”。,1014
1015,如何判断债转股操作是否成功,债转股操作是否成功，可以通过查询委托是否合法来判断，委托合法就表示债转股申报成功。由于当天卖出债券和债券转托管优先于债转股业务，所以系统在债转股成功后并不冻结债券的数量，仍然可以对可转债进行其他操,1015
1016,可债券的回售条款是指什么,可转债的回售条款是为可转换公司债券投资者提供的一项安全性保障，当可转换公司债券的转换价值远低于债券面值时，投资人依据一定的条件可以要求发行人以面值加计利息补偿金的价格收回可转换公司债券。回售条款赋予了可转换公司债券投资者一种权力，投资者可以根据市场的变化而选择是否行使这种权利，这一条款在一定程度上保护了投资者的利益，相当于发行公司提前兑付本息。回售作为投资者的权力会增加转债的期权价值。,1016
1017,可转债认购时需要注意什么事项,可转债认购时需要注意以下几点：1、区分优先配售和面向社会公众投资者公开发行，两种不同发行方式的认购代码不同，认购时要输入对应的代码进行认购；2、 输入数量单位为10张及10张的整数倍，优先配售的数量在账户持仓**配债中会有显示；3、优先配售的部分基本上会成交，但面向公众发行的部分如果申购数量超出发行数量，需要进行摇号抽签，T+3公布中签结果，T+4对未中签的资金解冻。4、可转债认购深市支持撤单，沪市不支持撤单。,1017
1018,可转债转股是否支持撤单,可转债转股操作：深市支持撤单，沪市不支持撤单。,1018
1019,可转债的发行基本程序是什么,可转债的发行基本程序分以下三步：1、向老股东配售；2、向证券基金配售；3、上网定价发行。,1019
1020,可转债的配售流程及相关要素,1、可转债配售流程：（1）配售股权登记日(T日)：确定可以享有本次可转债配售的股东；（2）配售缴款日(T+1日)：配售缴款期仅为1天，一般在股权登记日后的第二个交易日，具体日期已公告为准。2、配售相关要素（1）配售对象：配售权登记日登记在册的股东。（2）配售价格：人民币100元配售单位：认购单位为1手(即10张，每张面值100元)。（3）配售比例：以截止配售权登记日收市后登记持有的股份数，按每股A股股票配售*元可转债的比例进行配售。优先配售采取取整的办法，实际配售量以1000元为单位，凡按照配售比例计算出配售量不足仟元的部分，视为投资者放弃。（4）配售申报：每个股票帐户的认购数量不得低于1手(10张)，超过1手的必须为1手(10张)的整数倍。（5）认购限制：投资者认购转债时，可根据自己的意愿决定认购可配售转债的全部或部分，但每个帐户中认购额不得超过规定的限额。,1020
1021,什么是可转换债券,可转换公司债券（简称：可转债）是指由公司发行的，投资者在一定时期内可选择一定条件转换成公司股票的公司债券，通常称作可转换债券或可转债。这种债券兼具债权和股权双重属性。,1021
1022,可转换债券的发行认购需要缴费用吗,在可转债发行时进行认购无需缴纳任何费用。,1022
1023,怎么认购可转债,认购可转债的操作方式有：1、普通账户：新老股东均可通过买入菜单/卖出菜单操作；2、信用账户：可转债老股东配售部分，可以操作“卖出”完成认购。,1023
1024,可转债的交易规则有哪些,可转债的交易规则有：1、交易与交收：“T＋0”回转交易，“T+1”资金交收2、全价交易，并且无涨跌幅限制；3、价格变动单位：沪市0.01 元；深市0.001元；4、交易单位：“张”（100元/张），以每10张为单位进行申报。,1024
1025,股票停牌期间，能否进行转股申报,只要是在可转债发行公告规定的转股期内（约定的或交易监管部门规定的暂停转股时间段除外），不论该股票是否停牌，均可进行转股申报。,1025
1026,可转债转股是否收取手续费,可转债转股是不收费的。,1026
1027,可转债认购可以撤单吗,1、向老股东配售可转债时：深圳可以撤单，上海不可以撤单；2、新股东认购可转债时：深圳和上海都不可以撤单。,1027
1028,什么是可转债的赎回条款,可转债的赎回条款是发行公司为促使转债转股而设定的条款。赎回条款规定，在特定的赎回期内，如果公司股票的价格连续高于转股价一定的幅度，公司有权以一定的价格全部或部分赎回未转股的转债。,1028
1029,如何获得公司可转债赎回的信息,发行人行使赎回权时，在赎回条件满足后的五个工作日内在中国证监会指定报刊和互联网网站连续发布赎回公告至少三次，赎回公告应载明赎回的程序、价格、付款方法、时间等内容。赎回公告发布后，不得撤销 赎回决定。赎回期结束，公告赎回结果及对发行人的影响。,1029
1030,可转债的交易规则是怎样的,1、交易方式：可转换公司债券实行T+0交易。可转换公司债券的委托、交易、托管、转托管、行情揭示参照Ａ股办理。 2、交易报价：可转换公司债券以面值100元为一报价单位，价格升降单位为0.01元。以面值1000元为1手，以1手或其整数倍进行申报，单笔申报最大数量应当低于1万手（含1万手）。 3、交易清算：可转换公司债券交易实行T+1交收，投资者与券商在成交后的第二个交易日办理交割手续。,1030
1031,债券专用席位是否可以做可转债交易,债券专用席位可以进行可转债的交易，但是一定要在转股前抛掉。,1031
1032,持有的可转债是一次转股还是分多次转股,投资者持有的可转债可以分多次申请转股，但是累计申请转股的可转债数量不能超过投资者实际拥有的数量。 如果投资者申请转股的可转债数量大于投资者实际拥有的数量，则交易所将以其最大的可转债数量进行转股，超过实际拥有数量的部分予以取消。,1032
1033,公司送红股时会停止转股交易吗,公司因增发新股、配股、分红派息而调整转股价格时，交易所将停止该可转换公司债券转股，停止转股的时间为一个交易日或其整数倍，最长不超过十五个交易日，具体安排由公司与交易所商定。同时交易所还依据公告信 息对其转股价格进行调整，并于股权登记日的下一个交易日恢复转股。恢复转股后采用调整后的转股价格。,1033
1034,可转债的本息兑换程序是怎样的,1.到期一次性还本付息的可转换公司债券，交易所于转换期结束时自动终止交易后二个交易日内，将交易结束时的债券数据通知发行人，发行人于到期日前将相应本息款划入交易所指定的资金帐户。 2.交易所于到期日后第三个交易日将本息款划入券商清算头寸帐户，各券商于到期日后第五个交易日将本息款划入投资者开设的资金或保证金帐户。 3.设置强制性转股条款的可转换公司债券，每年兑付利息期间，债券交易不停市，付息办法参照A股派息程序执行。,1034
1035,内盘是什么,所谓内盘就是卖家以买家的买入价而卖出成交，成交价为申买价，说明抛盘比较踊跃。成交价为买入价叫内盘。当成交价在买入价时，将现手数量加入内盘累计数量中 ， 当内盘累计数量比外盘累计数量大很多，而股价下跌时表示很多人在强抛卖出股票。,1035
1036,外盘是什么?,外盘就是股票的买家以卖家的卖出价而买入成交，成交价为申卖价，说明买盘比较积极。当成交价在卖出价时，将成交数量加入外盘累计数量中，当外盘累计数量比内盘累计数量大很多，表示很多人在抢盘买入股票，这时股票有股价上涨趋势。外盘是以卖方卖出价成交的交易，卖出量统计加入外盘。通常在国内股票软件中，红色数字表示外盘。,1036
1037,涨停价,涨停价=上个交易日收盘价*110%,1037
1038,换手率（决定因素）,一般而言，新兴市场的换手率要高于成熟市场的换手率。其根本原因在于新兴市场规模扩张快，新上市股票较多，再加上投资者投资理念不强，使新兴市场交投较活跃。换手率的高低还取决于以下几方面的因素：&lt;br /&gt;1．交易方式。&lt;br /&gt;2．交收期。一般而言，交收期越短，换手率越高。&lt;br /&gt;3．投资者结构。以个人投资者为主体的证券市场，换手率往往较高；以基金等机构投资者为主体的证券市场，换手率相对较低。,1038
1039,换手率（计算公式）,换手率=某一段时期内的成交量/发行总股数×100%,1039
1040,换手率（定义）,“换手率”也称“周转率”，指在一定时间内市场中股票转手买卖的频率，是反映股票流通性强弱的指标之一。以样本总体的性质不同有不同的指标类型，如交易所所有上市股票的总换手率、基于某单个股票发行数量的换手率、基于某机构持有组合的换手率。,1040
1041,市净率的意义,市净率可用于投资分析。每股净资产是股票的本身价值，它是用成本计量的，而每股市价是这些资产的现在价格，它是证券市场上交易的结果。市价高于价值时企业资产的质量较好，有发展潜力，反之则资产质量差，没有发展前景。优质股票的市价都超出每股净资产许多，一般说来市净率达到3可以树立较好的公司形象。市价低于每股净资产的股票，就象售价低于成本的商品一样，属于&quot;处理品&quot;。当然，&quot;处理品&quot;也不是没有购买价值，问题在于该公司今后是否有转机，或者购入后经过资产重组能否提高获利能力，是市价与每股净资产之间的比值，比值越低意味着风险越低。,1041
1042,市净率的作用,股票净值是决定股票市场价格走向的主要根据。上市公司的每股内含净资产值高而每股市价不高的股票，即市净率越低的股票，其投资价值越高。相反，其投资价值就越小，但在判断投资价值时还要考虑当时的市场环境以及公司经营情况、盈利能力等因素。,1042
1043,市净率计算,市净率=（P/BV）即：每股市价(P)/每股净资产(Book Value),1043
1044,市净率,市净率指的是每股股价与每股净资产的比率。 市净率可用于股票投资分析，一般来说市净率较低的股票，投资价值较高，相反，则投资价值较低；但在判断投资价值时还要考虑当时的市场环境以及公司经营情况、盈利能力等因素。,1044
1045,市盈率,市盈率是某种股票每股市价与每股盈利的比率。（市盈率＝普通股每股市场价格\u00F7普通股每年每股盈利）上式中的分子是当前的每股市价，分母可用最近一年盈利，也可用未来一年或几年的预测盈利。市盈率是估计普通股价值的最基本、最重要的指标之一。一般认为该比率保持在20－30之间是正常的，过小说明股价低，风险小，值得购买；过大则说明股价高，风险大，购买时应谨慎。但高市盈率股票多为热门股，低市盈率股票可能为冷门股。,1045
1046,停牌,股票由于某种消息或进行某种活动引起股价的连续上涨或下跌，由证券交易所暂停其在股票市场上进行交易。待情况澄清或企业恢复正常后，再复牌在交易所挂牌交易。,1046
1047,手,它是国际上通用的计算成交股数的单位。必须是手的整数倍才能办理交易。目前一般以100股为一手进行交易。即购买股票至少必须购买100股。,1047
1048,成长股,是指这样一些公司所发行的股票，它们的销售额和利润额持续增长，而且其速度快于整个国家和本行业的增长。这些公司通常有宏图伟略，注重科研，留有大量利润作为再投资以促进其扩张。,1048
1049,热门股,是指交易量大、流通性强、股价变动幅度较大的股票。,1049
1050,绩优股,是指那些业绩优良，但增长速度较慢的公司的股票。这类公司有实力抵抗经济衰退，但这类公司并不能给你带来振奋人心的利润。因为这类公司业务较为成熟，不需要花很多钱来扩展业务，所以投资这类公司的目的主要在于拿股息。另外，投资这类股票时，市盈率不要太高，同时要注意股价在历史上经济不景气时波动的记录。,1050
1051,红筹股,这一概念诞生于90年代初期的香港股票市场。中华人民共和国在国际上有时被称为红色中国，相应地，香港和国际投资者把在境外注册、在香港上市的那些带有中国大陆概念的股票称为红筹股。,1051
1052,兰筹股,是指稳定的现金股利政策对公司现金流管理有较高的要求，通常将那些经营业绩较好，具有稳定且较高的现金股利支付的公司股票称为“蓝筹股”。蓝筹股多指长期稳定增长的、大型的、传统工业股及金融股。,1052
1053,创业板,又称二板市场即第二股票交易市场，是与主板市场不同的一类证券市场，专为暂时无法在主板上市的创业型企业、中小企业和高科技产业企业等需要进行融资和发展的企业提供融资途径和成长空间的证券交易市场，是对主板市场的重要补充，在资本市场有着重要的位置。,1053
1054,主板,主板市场也称为一板市场，指传统意义上的证券市场（通常指股票市场），是一个国家或地区证券发行、上市及交易的主要场所。,1054
1055,什么是ST股,ST（Special Treatment）股：特殊处理的股票。指财务状况或其它状况出现异常的上市公司股票。&lt;br /&gt;　　沪深证券交易所在1998年4月22日宣布，根据1998年实施的股票上市规则，将对财务状况或其它状况出现异常的上市公司的股票交易进行特别处理。&lt;br /&gt;　　上述财务状况或其它状况出现异常主要是指两种情况，一是上市公司经审计连续两个会计年度的净利润均为负值，二是上市公司最近一个会计年度经审计的每股净资产低于股票面值。在上市公司的股票交易被实行特别处理期间，其股票交易应遵循下列规则：（1）股票报价日涨跌幅限制为5％；（2）股票名称改为原股票名前加 “ST”，例如“ST钱江”；（3）上市公司的中期报告必须审计。,1055
1056,2017年4月17日新股申购,今日新股&lt;br /&gt;新日股份732787，上限20000股；&lt;br /&gt;友讯达300514，上限10000股；&lt;br /&gt;传艺科技002866，上限14000股。,1056
